Date,Time,Hspd(rpm),PID#,Vbec(V),*Cnt,*Skp,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Vbat(V),Curr(A),Capa(mAh),Bat%(%),Cel#,Vcel(V),Tesc(°C),Alt(m),MDL#,Rud,Ele,Thr,Ail,SB,SC,SD,SE,SF,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-18,11:31:58.250,0,1,0.00,57,0,-33,0,100,9,0,29,10,-28,100,9,12.43,0.13,0,93,3,4.14,43,0.00,0,-2,4,-10,8,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1495,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:31:59.250,375,1,0.00,58,0,-33,0,100,9,0,29,10,-24,100,9,12.43,0.32,0,93,3,4.14,43,0.00,0,-2,4,-9,8,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1496,1499,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:00.250,1025,3,0.00,60,0,-31,0,100,9,0,29,10,-25,100,8,12.43,0.64,0,93,3,4.14,43,0.00,0,-3,4,4,8,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1502,1499,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:01.250,1350,3,0.00,61,0,-30,0,100,9,0,29,10,-24,100,8,12.43,0.64,0,93,3,4.14,43,0.00,0,-2,4,48,7,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1524,1499,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:02.250,1350,3,0.00,62,0,-33,0,100,9,0,29,10,-26,100,8,12.40,1.08,0,92,3,4.13,43,0.00,0,-5,5,27,8,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1513,1498,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:03.250,2234,3,0.00,63,0,-34,0,100,9,0,29,10,-28,100,9,12.39,1.41,0,92,3,4.13,44,0.00,0,-2,4,-26,8,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1487,1499,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:04.250,2733,3,0.00,64,0,-33,0,100,9,0,29,10,-26,100,8,12.36,1.70,2,91,3,4.12,44,0.00,0,3,4,-11,8,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1495,1501,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:05.250,3144,3,0.00,65,0,-33,0,100,9,0,29,10,-28,100,8,12.35,2.15,2,90,3,4.11,44,0.00,0,14,5,24,7,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1512,1507,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:06.250,3619,3,0.00,66,0,-33,0,100,9,0,29,10,-27,100,8,12.35,2.15,2,90,3,4.11,44,0.00,0,7,6,30,6,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1503,1515,1503,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2026-08-18,11:32:07.250,4072,3,0.00,68,0,-31,0,100,9,0,29,10,-24,100,8,12.22,4.18,4,85,3,4.07,44,0.00,0,-4,7,493,4,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1502,1503,1745,1498,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
