Date,Time,Hspd(rpm),PID#,Vbec(V),*Cnt,*Skp,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Vbat(V),Curr(A),Capa(mAh),Bat%(%),Cel#,Vcel(V),Tesc(°C),Alt(m),MDL#,Rud,Ele,Thr,Ail,SB,SC,SD,SE,SF,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-29,15:23:49.120,0,0,0.00,0,0,-56,-55,100,9,1,29,10,-43,100,8,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,6,-42,8,1,-1,0,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1503,1479,1499,2012,1193,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:50.120,0,0,0.00,0,0,-55,-56,100,9,1,29,10,-43,100,9,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,5,-42,8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1479,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:51.120,0,0,0.00,0,0,-55,-57,100,8,1,29,10,-47,100,9,0.00,0.00,0,0,0,0.00,0,0.00,0,-3,5,-42,8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1479,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:52.120,0,0,0.00,0,0,-61,-59,100,9,1,29,10,-57,100,9,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,6,-42,8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1479,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:53.120,0,0,0.00,0,0,-58,-60,100,9,1,29,10,-53,100,9,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,5,-23,8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1489,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:54.120,0,0,0.00,0,0,-56,-60,100,9,1,29,10,-43,100,8,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,5,-3,8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1499,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:55.120,0,0,0.00,0,0,-56,-59,100,9,1,29,10,-47,100,8,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,5,-3,7,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1499,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:56.120,0,0,0.00,0,0,-57,-60,100,10,1,29,10,-48,100,8,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,4,-2,8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1499,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:57.120,0,0,0.00,0,0,-57,-58,100,9,1,29,10,-45,100,9,0.00,0.00,0,0,0,0.00,0,0.00,0,72,5,-18,7,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1491,1536,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2026-08-29,15:23:58.120,0,0,0.00,0,0,-57,-59,100,10,1,29,10,-45,100,8,0.00,0.00,0,0,0,0.00,0,0.00,0,-2,5,-17,9,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1492,1499,2012,2012,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
