Date,Time,Hspd(rpm),PID#,Vbec(V),*Cnt,*Skp,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Vbat(V),Curr(A),Capa(mAh),Bat%(%),Cel#,Vcel(V),Tesc(°C),Alt(m),MDL#,Rud,Ele,Thr,Ail,SB,SC,SD,SE,SF,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-15,14:24:57.340,0,1,7.94,222,1,-59,-60,100,9,1,29,10,-54,100,9,29.15,0.00,0,100,7,4.16,31,0.16,0,-2,4,100,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1550,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:24:58.340,0,1,7.92,225,1,-59,-61,100,9,1,29,10,-56,100,8,29.15,2.90,1,99,7,4.16,31,0.13,0,-2,4,100,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1550,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:24:59.340,126,1,7.93,228,1,-63,-61,100,9,1,29,10,-57,100,8,29.14,2.87,1,99,7,4.16,31,0.13,0,-2,4,100,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1550,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:00.340,222,1,7.93,230,1,-64,-65,100,9,1,29,10,-61,100,8,29.17,2.87,2,99,7,4.16,31,0.13,0,-2,4,101,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1550,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:01.340,332,1,7.92,232,1,-67,-64,100,9,1,29,10,-54,100,8,29.11,2.87,3,99,7,4.15,31,0.12,0,-2,4,101,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1550,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:02.340,489,1,7.91,234,1,-58,-54,100,9,1,29,10,-49,100,9,29.10,5.96,4,99,7,4.15,32,0.09,0,-2,3,101,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1501,1550,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:03.340,632,1,7.91,236,1,-61,-55,100,9,1,29,10,-48,100,8,29.06,7.14,5,99,7,4.15,32,0.07,0,79,4,112,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1556,1539,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:04.340,778,1,7.91,238,1,-59,-55,100,9,1,29,10,-46,100,8,29.01,8.16,8,99,7,4.14,32,0.08,0,-2,4,133,7,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1502,1566,1499,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:05.340,938,1,7.92,240,1,-57,-55,100,9,1,29,10,-44,100,8,28.97,9.00,11,99,7,4.13,32,-0.02,0,-4,12,118,6,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1506,1559,1498,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:06.340,1098,1,7.91,242,1,-56,-55,100,9,1,29,10,-49,100,8,28.92,11.52,14,99,7,4.13,32,-0.04,0,-4,4,115,8,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1504,1502,1557,1498,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
