24.03.2020 21:32:03;VStabi Start -- TREX 600
24.03.2020 21:32:04 Info;Bank 2 geladen
24.03.2020 21:32:04 Info;Bank 3 geladen
24.03.2020 21:32:04 Gut;Motorschalter Motor Aus
24.03.2020 21:32:05 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:32:08 Info;Kalibrierung beendet
24.03.2020 21:38:40 Info;Bank 1 geladen
24.03.2020 21:38:41 Info;Bank 2 geladen
24.03.2020 21:38:41 Gut;Motorschalter Motor An
24.03.2020 21:39:07 Info;Bank 2 geladen
24.03.2020 21:39:08 Info;Bank 3 geladen
24.03.2020 21:39:08 Info;Bank 2 geladen
24.03.2020 21:39:09 Info;Bank 1 geladen
24.03.2020 21:39:10 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:39:10 Gut;Motorschalter Motor Aus
24.03.2020 21:39:10 Gut;Motorschalter Motor An
24.03.2020 21:39:41 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:40:09 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:40:09 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:40:09 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:40:09 Gut;Motorschalter Motor Aus
24.03.2020 21:40:10 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:40:11 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:40:11 Gut;Motorschalter Motor An
24.03.2020 21:40:13 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:40:13 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:40:14 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:40:14 Gut;Motorschalter Motor Aus
24.03.2020 21:40:31 Info;Bank 2 geladen
24.03.2020 21:40:32 Info;Bank 3 geladen
24.03.2020 21:40:34 Info;Bank 2 geladen
24.03.2020 21:40:35 Info;Bank 1 geladen
24.03.2020 21:40:37 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:40:38 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:40:38 Gut;Motorschalter Motor An
24.03.2020 21:40:48 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:40:48 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:40:48 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:40:49 Gut;Motorschalter Motor Aus
24.03.2020 21:40:57 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:41:00 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:41:00 Gut;Motorschalter Motor An
24.03.2020 21:41:02 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:41:02 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:41:04 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:41:04 Gut;Motorschalter Motor Aus
24.03.2020 21:41:05 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:41:07 Gut;Motorschalter Motor Aus
24.03.2020 21:41:10 Info;Bank 2 geladen
24.03.2020 21:41:11 Info;Bank 3 geladen
24.03.2020 21:41:12 Info;Bank 1 geladen
24.03.2020 21:41:13 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:41:13 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:41:13 Gut;Motorschalter Motor An
24.03.2020 21:41:16 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:41:16 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:41:17 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:41:17 Gut;Motorschalter Motor Aus
24.03.2020 21:41:52 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:41:53 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:41:53 Gut;Motorschalter Motor An
24.03.2020 21:41:54 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:41:55 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:41:55 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:41:55 Gut;Motorschalter Motor Aus
24.03.2020 21:42:40 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:42:41 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:42:41 Gut;Motorschalter Motor An
24.03.2020 21:42:42 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:42:43 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:42:44 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:42:44 Gut;Motorschalter Motor Aus
24.03.2020 21:42:57 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:42:57 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:42:57 Gut;Motorschalter Motor An
24.03.2020 21:43:01 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:43:01 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:43:03 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:43:04 Gut;Motorschalter Motor Aus
24.03.2020 21:43:05 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:43:07 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:43:07 Gut;Motorschalter Motor An
24.03.2020 21:43:07 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:43:08 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:43:08 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:43:08 Gut;Motorschalter Motor Aus
24.03.2020 21:43:42 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:43:43 Info;Drehzahlregler auf AN geschaltet
24.03.2020 21:43:43 Gut;Motorschalter Motor An
24.03.2020 21:43:48 Info;Drehzahlregler auf Idle geschaltet
24.03.2020 21:43:48 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:43:50 Info;Drehzahlregler auf AUS geschaltet
24.03.2020 21:43:51 Gut;Motorschalter Motor Aus
24.03.2020 21:44:31 Info;Bank 2 geladen
24.03.2020 21:44:31 Info;Bank 1 geladen
24.03.2020 21:44:46 Gut;Motorschalter Leerlauf Durchstarten
24.03.2020 21:44:46 Gut;Motorschalter Motor An
